word,cat_bit,dom_bit,pol_code,int_bit,tone_code,morph_bit,x1,x2,x3,x4,x5,x6,x7_hz,x7_norm,x8,x9_re,x9_norm,x10,x11,x11_ord,x12,L,a,b,x13_accent,x14_contour,x15_meter,x16_regularity,morph_type
보슬보슬,4,257,1,1,1,1,5,4,4,2,5,3,900.0,5.56,4,3200.0,5.89,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,1,REDUP(첩어・동일)
쫄깃쫄깃,4,257,1,4,2,1,3,4,7,2,5,3,360.0,3.24,4,3200.0,5.89,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,1,REDUP(첩어・동일)
쫀득쫀득,4,257,1,4,2,1,7,8,7,7,5,5,240.0,2.22,8,3200.0,5.89,3,0,4,#800000,25.5,48.0,38.1,5,5,5,1,REDUP(첩어・동일)
끈적끈적,4,1,2,4,2,1,7,8,7,7,5,8,240.0,2.22,8,3200.0,5.89,3,hh,7,#FF0000,53.2,80.1,67.2,5,5,5,1,REDUP(첩어・동일)
미끌미끌,4,1,0,1,2,1,7,4,7,2,5,5,240.0,2.22,4,3200.0,5.89,3,0,4,#800000,25.5,48.0,38.1,5,5,5,1,REDUP(첩어・동일)
매끈매끈,4,1,1,1,1,1,7,4,7,7,5,5,240.0,2.22,4,3200.0,5.89,3,0,4,#4B3621,24.5,6.4,16.8,5,5,5,1,REDUP(첩어・동일)
거칠거칠,4,1,2,1,2,1,7,4,7,2,5,3,240.0,2.22,4,3200.0,5.89,3,0,4,#800000,25.5,48.0,38.1,5,5,5,1,REDUP(첩어・동일)
따끈따끈,4,4,1,4,1,1,7,4,7,7,5,5,240.0,2.22,4,3200.0,5.89,3,hh,7,#4B3621,24.5,6.4,16.8,5,5,5,1,REDUP(첩어・동일)
뜨끈뜨끈,4,4,1,4,2,1,7,4,7,7,5,5,240.0,2.22,4,3200.0,5.89,3,hh,7,#800000,25.5,48.0,38.1,5,5,5,1,REDUP(첩어・동일)
후끈후끈,4,4,2,2,2,1,7,4,7,2,5,5,240.0,2.22,4,3200.0,5.89,3,hh,7,#800000,25.5,48.0,38.1,5,5,5,1,REDUP(첩어・동일)
시원시원,4,4,1,4,2,1,5,4,4,2,5,8,300.0,2.78,4,4500.0,6.47,6,hh,7,#4682B4,52.5,-4.1,-32.2,5,5,5,1,REDUP(첩어・동일)
으슬으슬,4,4,2,1,2,1,5,4,4,2,5,3,300.0,2.78,4,3200.0,5.89,3,hh,7,#708090,52.8,-2.1,-10.6,5,5,5,1,REDUP(첩어・동일)
차갑게,4,4,0,1,1,16,3,8,7,5,5,3,1500.0,6.86,8,3200.0,5.89,3,hh,7,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(복합・이종)
새콤달콤,4,256,1,4,1,16,3,5,7,2,5,5,1500.0,6.86,5,3200.0,5.89,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(복합・이종)
달콤하다,4,256,1,1,1,8,3,5,7,2,5,5,1500.0,6.86,5,3200.0,5.89,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(복합・이종)
매콤하다,4,256,1,1,1,8,3,5,7,2,5,5,1500.0,6.86,5,3200.0,5.89,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(복합・이종)
찌릿찌릿,16,16384,2,4,2,1,4,4,7,7,5,3,330.0,3.02,4,3200.0,5.89,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,1,REDUP(첩어・동일)
콕콕,16,16384,2,4,1,1,3,8,7,5,5,3,1500.0,6.86,8,3200.0,5.89,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(복합・이종)
욱신욱신,16,16384,2,1,2,1,5,8,4,2,5,5,300.0,2.78,8,3200.0,5.89,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,1,REDUP(첩어・동일)
뻐근,16,16384,2,4,2,2,7,5,7,7,5,5,240.0,2.22,5,3200.0,5.89,3,0,4,#800000,25.5,48.0,38.1,5,5,5,8,COMPOUND(복합・이종)
아릿아릿,16,16384,2,1,1,1,3,4,4,5,5,3,1500.0,6.86,4,3200.0,5.89,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,1,REDUP(첩어・동일)
콜록콜록,1,16384,2,4,2,1,3,8,7,2,2,8,360.0,3.24,8,4500.0,6.47,3,0,4,#4682B4,52.5,-4.1,-32.2,5,5,5,1,REDUP(첩어・동일)
쿨럭쿨럭,1,16384,2,2,2,1,8,8,7,2,2,8,210.0,1.88,8,8500.0,7.55,3,0,4,#800000,25.5,48.0,38.1,5,5,5,1,REDUP(첩어・동일)
훌쩍훌쩍,1,16384,2,2,2,1,7,8,7,2,2,8,240.0,2.22,8,8500.0,7.55,3,0,4,#800000,25.5,48.0,38.1,5,5,5,1,REDUP(첩어・동일)
글썽글썽,4,16384,2,1,2,1,7,4,7,2,2,8,240.0,2.22,4,3200.0,5.89,3,0,4,#800000,25.5,48.0,38.1,5,5,5,1,REDUP(첩어・동일)
꼬르륵,2,16384,2,4,2,2,7,8,7,7,2,3,240.0,2.22,8,8500.0,7.55,3,0,4,#800000,25.5,48.0,38.1,5,5,5,8,COMPOUND(복합・이종)
반짝반짝,4,16,1,1,1,1,1,8,7,7,5,5,2100.0,7.71,8,3200.0,5.89,3,0,4,#FFD700,86.9,-1.9,87.1,5,5,5,1,REDUP(첩어・동일)
번쩍번쩍,4,16,1,1,2,1,7,8,7,7,5,5,240.0,2.22,8,3200.0,5.89,3,0,4,#FFD700,86.9,-1.9,87.1,5,5,5,1,REDUP(첩어・동일)
알록달록,4,16,1,1,1,1,3,8,4,2,5,3,1500.0,6.86,8,3200.0,5.89,3,0,4,#FFD700,86.9,-1.9,87.1,5,5,5,8,COMPOUND(복합・이종)
얼룩덜룩,4,16,0,1,2,1,5,8,4,2,5,3,300.0,2.78,8,3200.0,5.89,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(복합・이종)
울긋불긋,4,16,1,1,2,1,5,5,4,2,8,8,300.0,2.78,5,3200.0,5.89,3,0,4,#4682B4,52.5,-4.1,-32.2,5,5,5,8,COMPOUND(복합・이종)
가물가물,4,16,2,1,1,1,5,4,4,2,5,5,900.0,5.56,4,3200.0,5.89,3,0,4,#FFD700,86.9,-1.9,87.1,5,5,5,1,REDUP(첩어・동일)
아른아른,4,16,0,1,1,1,5,4,4,5,5,5,900.0,5.56,4,3200.0,5.89,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,1,REDUP(첩어・동일)
깜빡깜빡,4,16,0,4,1,1,3,8,7,7,5,5,1500.0,6.86,8,3200.0,5.89,3,hh,7,#FF0000,53.2,80.1,67.2,5,5,5,1,REDUP(첩어・동일)
끔벅끔벅,4,16,0,4,2,1,7,8,7,7,5,5,240.0,2.22,8,3200.0,5.89,3,0,4,#800000,25.5,48.0,38.1,5,5,5,1,REDUP(첩어・동일)
훤히,4,16,1,1,2,8,5,5,4,2,5,5,300.0,2.78,5,3200.0,5.89,3,0,4,#FFD700,86.9,-1.9,87.1,5,5,0,0,SUFFIX(어미변화)
캄캄,4,16,2,4,1,1,3,5,7,5,5,5,1500.0,6.86,5,3200.0,5.89,3,0,4,#FFD700,86.9,-1.9,87.1,5,5,5,8,COMPOUND(복합・이종)
안절부절,8,2048,2,1,2,1,5,5,4,2,5,5,300.0,2.78,5,3200.0,5.89,3,hh,7,#FF0000,53.2,80.1,67.2,5,5,5,8,COMPOUND(복합・이종)
갈팡질팡,4,2048,2,1,1,1,3,5,7,2,5,5,1500.0,6.86,5,3200.0,5.89,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(복합・이종)
허둥지둥,4,2048,2,1,2,1,5,5,4,2,5,5,300.0,2.78,5,3200.0,5.89,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(복합・이종)
허우적허우적,4,2048,2,1,2,1,5,8,4,2,8,8,300.0,2.78,8,3200.0,5.89,3,0,4,#4682B4,52.5,-4.1,-32.2,5,5,5,1,REDUP(첩어・동일)
옥신각신,4,64,2,1,1,1,3,8,4,2,5,5,1500.0,6.86,8,3200.0,5.89,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(복합・이종)
티격태격,4,64,2,2,1,1,3,8,7,5,5,3,1500.0,6.86,8,3200.0,5.89,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(복합・이종)
오순도순,4,64,1,1,2,1,5,5,4,2,5,5,300.0,2.78,5,3200.0,5.89,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(복합・이종)
옹기종기,4,32,1,1,2,1,1,5,4,5,5,5,420.0,3.63,5,3200.0,5.89,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(복합・이종)
차근차근,4,8,1,2,1,1,7,4,7,5,5,5,240.0,2.22,4,3200.0,5.89,3,0,4,#4B3621,24.5,6.4,16.8,5,5,5,1,REDUP(첩어・동일)
차츰차츰,4,8,0,2,2,1,7,4,7,5,5,5,240.0,2.22,4,3200.0,5.89,3,0,4,#800000,25.5,48.0,38.1,5,5,5,1,REDUP(첩어・동일)
시나브로,4,8,1,1,1,16,5,5,4,2,5,5,900.0,5.56,5,3200.0,5.89,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(복합・이종)
가만히,4,128,1,1,1,8,3,5,4,2,8,8,1500.0,6.86,5,800.0,3.53,3,0,4,#4682B4,52.5,-4.1,-32.2,5,5,0,0,SUFFIX(어미변화)
살포시,4,128,1,1,1,8,1,5,7,2,2,3,2100.0,7.71,5,4500.0,6.47,3,0,4,#708090,52.8,-2.1,-10.6,5,5,0,0,SUFFIX(어미변화)
슬그머니,4,128,0,1,2,8,5,5,4,2,5,5,300.0,2.78,5,3200.0,5.89,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(복합・이종)
슬쩍,4,128,0,4,2,2,7,8,7,2,5,3,240.0,2.22,8,3200.0,5.89,3,0,4,#800000,25.5,48.0,38.1,5,5,5,8,COMPOUND(복합・이종)
힐끔,4,2,0,2,2,2,7,5,7,2,5,5,240.0,2.22,5,3200.0,5.89,3,0,4,#800000,25.5,48.0,38.1,5,5,5,8,COMPOUND(복합・이종)
힐끔힐끔,4,2,0,2,2,1,7,4,7,2,5,5,240.0,2.22,4,3200.0,5.89,3,0,4,#800000,25.5,48.0,38.1,5,5,5,1,REDUP(첩어・동일)
